#{"t_start": 1771238678.271325, "env_id": null}
r,l,t
-1.2,25,9.098301
17.5,25,9.106922
17.7,25,9.115518
27.3,25,9.12456
23.2,25,9.934458
15.8,25,9.95003
19.0,25,9.962829
20.9,25,9.977282
18.4,25,9.98786
22.8,25,9.997616
20.8,25,10.00855
22.2,25,10.018541
21.8,25,10.028622
16.8,25,10.038273
21.3,25,10.047748
20.2,25,10.058067
17.7,25,10.067181
23.3,25,10.076679
22.1,25,10.087293
20.2,25,10.09865
22.5,25,10.107357
24.4,25,10.116091
19.3,25,10.124748
20.8,25,10.133944
17.6,25,10.143628
14.5,25,10.486284
17.0,25,10.497204
19.9,25,10.507027
23.1,25,10.516327
13.6,25,10.527493
-6.4,25,10.537636
15.8,25,10.547468
20.2,25,10.557694
23.4,25,10.567834
20.8,25,10.577631
13.9,25,10.588935
16.8,25,10.599788
19.9,25,10.608997
14.0,25,10.617599
21.8,25,10.626152
21.2,25,10.634936
18.3,25,10.644299
19.5,25,10.653732
22.8,25,10.66484
14.8,25,10.673898
-6.4,25,11.042156
24.5,25,11.054207
18.0,25,11.063432
23.4,25,11.072863
18.6,25,11.08288
21.1,25,11.092137
19.9,25,11.100942
18.0,25,11.110848
24.1,25,11.120432
18.7,25,11.130679
18.1,25,11.1397
17.9,25,11.148918
18.1,25,11.15932
23.1,25,11.168535
22.1,25,11.177619
14.8,25,11.186935
20.9,25,11.195964
21.8,25,11.204589
23.1,25,11.21313
20.9,25,11.222155
11.2,25,11.230599
19.6,25,11.632366
16.6,25,11.644264
-6.6,25,11.656053
17.1,25,11.666607
18.0,25,11.67593
15.8,25,11.685089
20.2,25,11.694154
23.1,25,11.703223
17.7,25,11.713317
24.0,25,11.722293
17.7,25,11.731367
-6.4,25,11.740043
18.0,25,11.749589
18.0,25,11.758962
23.9,25,11.767557
22.2,25,11.776136
22.5,25,11.785402
18.6,25,11.797402
20.8,25,11.806242
15.8,25,11.815208
22.1,25,12.092727
-3.4,25,12.105284
17.4,25,12.114005
17.7,25,12.123817
21.2,25,12.133219
22.2,25,12.14256
19.0,25,12.153117
22.8,25,12.163457
-6.6,25,12.173112
22.2,25,12.187317
18.7,25,12.197905
18.0,25,12.206551
14.8,25,12.21558
20.0,25,12.224016
21.3,25,12.232729
13.1,25,12.244083
19.9,25,12.253324
-6.6,25,12.263237
21.2,25,12.272555
25.4,25,12.281156
19.0,25,12.289695
19.0,25,12.624296
26.4,25,12.6344
19.1,25,12.643156
22.2,25,12.651836
18.9,25,12.6626
16.5,25,12.680502
22.2,25,12.693898
18.7,25,12.703653
10.0,25,12.713489
21.8,25,12.722905
20.9,25,12.732205
20.3,25,12.742963
15.4,25,12.752731
18.3,25,12.761555
19.8,25,12.770298
20.9,25,12.77885
24.1,25,12.787635
21.2,25,12.796079
23.2,25,12.804888
15.0,25,12.813795
16.5,25,13.105276
26.0,25,13.116285
16.7,25,13.126077
24.1,25,13.135127
19.1,25,13.143757
15.7,25,13.152535
27.4,25,13.161213
24.5,25,13.171383
27.2,25,13.18075
17.9,25,13.189903
27.7,25,13.20515
25.1,25,13.22049
28.6,25,13.229901
26.4,25,13.238999
19.7,25,13.248108
22.2,25,13.257207
20.8,25,13.266108
24.9,25,13.275272
28.6,25,13.284356
26.3,25,13.293315
23.1,25,13.302501
23.1,25,13.626405
15.4,25,13.636201
25.1,25,13.644861
22.1,25,13.653696
28.6,25,13.662596
23.2,25,13.679479
30.6,25,13.689085
25.1,25,13.698394
23.2,25,13.707998
28.2,25,13.717405
25.3,25,13.726556
21.9,25,13.735402
18.3,25,13.744762
27.3,25,13.757112
22.8,25,13.767346
-6.6,25,13.777523
4.2,25,13.786526
22.9,25,13.795084
21.1,25,13.803936
21.2,25,13.812412
22.2,25,14.105061
5.2,25,14.115736
28.6,25,14.124535
27.2,25,14.139455
23.2,25,14.150375
16.2,25,14.160178
19.6,25,14.170232
23.1,25,14.181154
19.6,25,14.189626
22.7,25,14.198294
18.6,25,14.206539
21.8,25,14.215065
-6.6,25,14.223134
29.6,25,14.231626
20.9,25,14.240088
18.6,25,14.248491
22.1,25,14.257158
16.8,25,14.265597
16.9,25,14.274243
24.5,25,14.282789
25.0,25,14.291793
25.4,25,14.646494
24.2,25,14.655421
22.1,25,14.664574
23.1,25,14.675024
24.0,25,14.683938
24.4,25,14.693474
24.4,25,14.701819
20.0,25,14.710244
15.0,25,14.71921
17.7,25,14.730394
27.3,25,14.73967
21.2,25,14.748264
24.3,25,14.75912
24.3,25,14.767583
20.9,25,14.776109
24.3,25,14.784521
20.9,25,14.793054
25.4,25,14.801527
