#{"t_start": 1771238590.3450012, "env_id": null}
r,l,t
21.2,25,16.619885
6.4,25,16.628989
-6.4,25,16.638159
4.4,25,16.647627
20.8,25,16.946686
13.6,25,16.958148
15.5,25,16.966954
16.4,25,16.978575
-6.6,25,16.9876
22.1,25,16.996638
-6.6,25,17.007062
13.5,25,17.015998
19.7,25,17.025758
16.5,25,17.03472
22.1,25,17.045312
20.3,25,17.056921
15.7,25,17.066307
21.9,25,17.075697
15.8,25,17.084316
22.2,25,17.092898
22.2,25,17.103141
18.9,25,17.112377
20.9,25,17.12306
18.0,25,17.13726
18.0,25,17.150621
12.3,25,17.430435
18.3,25,17.441954
9.0,25,17.452103
14.8,25,17.462348
21.9,25,17.471787
14.8,25,17.48293
19.1,25,17.492208
18.9,25,17.501449
15.5,25,17.510716
19.9,25,17.519853
13.5,25,17.528409
18.4,25,17.537146
21.4,25,17.545936
-6.6,25,17.554038
15.7,25,17.5626
20.2,25,17.571154
18.7,25,17.579633
16.8,25,17.588128
21.0,25,17.596444
22.0,25,17.60499
12.4,25,17.895628
26.3,25,17.906763
20.0,25,17.915403
24.1,25,17.924702
12.3,25,17.933642
21.8,25,17.942937
19.9,25,17.951665
21.3,25,17.960194
15.8,25,17.970932
-6.6,25,17.980606
19.6,25,17.989649
14.6,25,17.998382
23.5,25,18.006847
20.9,25,18.015672
13.6,25,18.024648
15.4,25,18.033614
16.8,25,18.043216
16.4,25,18.052046
21.2,25,18.060844
20.9,25,18.069778
18.7,25,18.079794
24.2,25,18.456413
24.4,25,18.46603
26.3,25,18.475755
18.1,25,18.485658
14.5,25,18.495766
20.8,25,18.505075
20.9,25,18.514147
26.7,25,18.629414
22.9,25,18.652234
16.4,25,18.661255
17.7,25,18.669592
17.7,25,18.678195
21.0,25,18.68656
25.4,25,18.69523
21.4,25,18.703582
21.3,25,18.712346
23.5,25,18.720643
22.2,25,18.729901
23.1,25,18.739156
21.9,25,18.749692
-6.6,25,19.032238
19.5,25,19.042897
20.9,25,19.051949
18.6,25,19.060854
15.5,25,19.069856
20.9,25,19.078768
15.0,25,19.087977
15.9,25,19.09626
24.1,25,19.104995
16.7,25,19.113609
15.8,25,19.122293
25.7,25,19.131735
20.9,25,19.140931
21.9,25,19.150401
24.1,25,19.160514
24.1,25,19.169593
18.7,25,19.178628
-0.2,25,19.187294
23.1,25,19.196242
16.4,25,19.205035
21.5,25,19.213859
23.0,25,19.480572
18.6,25,19.490298
24.0,25,19.501447
23.2,25,19.51415
24.0,25,19.523778
18.0,25,19.53338
21.9,25,19.5426
25.0,25,19.55145
21.0,25,19.560808
27.7,25,19.569558
18.0,25,19.578613
20.6,25,19.58731
23.1,25,19.596608
24.8,25,19.605313
24.1,25,19.614947
20.8,25,19.624688
15.4,25,19.634402
24.0,25,19.643676
26.6,25,19.652857
24.2,25,19.662086
27.3,25,19.938807
25.5,25,19.949453
18.6,25,19.95836
20.0,25,19.967295
-6.6,25,19.975237
26.9,25,19.983957
22.5,25,19.993808
23.2,25,20.003248
-6.6,25,20.011719
24.1,25,20.020676
24.3,25,20.029686
24.3,25,20.038332
15.4,25,20.048089
25.3,25,20.056719
17.4,25,20.065338
25.4,25,20.07388
24.1,25,20.082671
8.4,25,20.091381
20.8,25,20.100655
23.2,25,20.109425
23.1,25,20.118141
27.3,25,20.412302
22.7,25,20.421602
25.0,25,20.43059
27.6,25,20.439056
22.1,25,20.448249
19.9,25,20.457487
20.8,25,20.466234
-6.6,25,20.474982
22.5,25,20.48611
27.2,25,20.495118
24.0,25,20.505908
19.1,25,20.514602
24.9,25,20.523377
21.1,25,20.531995
19.9,25,20.540848
23.8,25,20.54988
23.9,25,20.558756
23.1,25,20.567717
17.9,25,20.576405
21.0,25,20.585559
27.9,25,20.849206
23.1,25,20.860315
26.1,25,20.870319
25.5,25,20.880166
26.3,25,20.889173
22.9,25,20.897631
23.8,25,20.906133
23.0,25,20.914619
24.0,25,20.923157
21.1,25,20.931521
22.1,25,20.93997
22.2,25,20.948544
-6.6,25,20.956852
21.8,25,20.965318
22.1,25,20.974046
28.9,25,20.9826
20.2,25,20.991251
24.1,25,20.999905
21.0,25,21.012343
26.3,25,21.020857
21.8,25,21.029289
24.4,25,21.339613
21.8,25,21.349097
20.9,25,21.357523
25.1,25,21.367615
23.1,25,21.377927
20.9,25,21.386407
23.0,25,21.395571
22.2,25,21.405328
24.9,25,21.413598
24.0,25,21.422235
21.0,25,21.432585
21.7,25,21.440767
20.0,25,21.449193
24.1,25,21.457377
23.1,25,21.465881
25.2,25,21.474596
22.8,25,21.483287
16.4,25,21.491518
23.0,25,21.500359
18.2,25,21.509862
25.9,25,21.783809
21.3,25,21.79397
21.8,25,21.802678
22.2,25,21.812083
21.9,25,21.822308
24.1,25,21.832167
23.2,25,21.842013
22.2,25,21.850837
27.3,25,21.85978
22.0,25,21.873519
24.3,25,21.882174
25.5,25,21.8905
27.2,25,21.89876
25.4,25,21.90709
19.9,25,21.915171
24.0,25,21.923796
20.8,25,21.932016
24.3,25,21.940621
18.6,25,21.948958
20.9,25,21.95737
21.9,25,21.965722
25.4,25,22.374312
17.8,25,22.384245
25.2,25,22.393246
25.1,25,22.402713
23.1,25,22.412113
22.5,25,22.421122
23.1,25,22.430282
23.0,25,22.439597
26.0,25,22.448504
20.2,25,22.456933
23.9,25,22.465417
22.2,25,22.4738
24.1,25,22.482155
22.8,25,22.490605
-0.2,25,22.498782
27.4,25,22.507723
20.9,25,22.517983
24.0,25,22.526686
26.3,25,22.535203
25.1,25,22.544074
-3.4,25,22.819259
28.3,25,22.829628
25.3,25,22.838278
21.8,25,22.846677
27.6,25,22.855256
25.0,25,22.863603
21.9,25,22.87205
16.7,25,22.880355
27.3,25,22.888943
16.2,25,22.897199
27.3,25,22.905619
24.0,25,22.913896
19.7,25,22.929187
25.0,25,22.937522
18.7,25,22.946149
25.3,25,22.954541
25.1,25,22.96298
26.0,25,22.971222
26.3,25,22.979603
17.8,25,22.988053
26.1,25,23.297283
-3.4,25,23.308349
23.4,25,23.317109
18.6,25,23.325521
21.9,25,23.333925
23.1,25,23.342699
17.0,25,23.351336
22.9,25,23.360042
24.7,25,23.368521
25.1,25,23.377953
23.8,25,23.386487
23.0,25,23.396248
16.7,25,23.405396
22.8,25,23.41397
26.6,25,23.422723
26.3,25,23.431306
20.0,25,23.440106
20.6,25,23.448693
20.5,25,23.457506
22.0,25,23.466238
22.7,25,23.474767
23.2,25,23.725464
28.6,25,23.735456
27.0,25,23.743777
18.7,25,23.752277
26.9,25,23.760834
26.3,25,23.770134
18.6,25,23.779224
17.7,25,23.78826
27.3,25,23.798579
25.1,25,23.807237
14.5,25,23.816331
22.8,25,23.824813
24.1,25,23.833582
24.0,25,23.842059
17.7,25,23.85137
22.8,25,23.859741
29.2,25,23.868572
22.8,25,23.877521
20.9,25,23.885793
23.1,25,23.894049
25.3,25,24.197407
24.2,25,24.209396
18.6,25,24.21796
18.5,25,24.226815
18.9,25,24.234921
22.1,25,24.243601
27.6,25,24.252061
25.3,25,24.260592
26.0,25,24.270827
27.3,25,24.283441
21.8,25,24.292711
21.1,25,24.301306
18.3,25,24.310195
24.1,25,24.319195
23.5,25,24.327555
24.4,25,24.335947
9.6,25,24.344158
20.0,25,24.352469
26.3,25,24.361512
25.0,25,24.37021
21.8,25,24.378817
25.1,25,24.653696
27.3,25,24.664508
26.9,25,24.673074
23.1,25,24.681628
29.2,25,24.68995
23.2,25,24.698678
24.1,25,24.707176
24.2,25,24.716073
25.4,25,24.725131
25.4,25,24.733897
28.4,25,24.742529
25.3,25,24.750957
28.3,25,24.759644
29.3,25,24.768464
25.0,25,24.779715
25.4,25,24.791459
30.2,25,24.799937
24.1,25,24.808832
23.7,25,24.817586
27.0,25,24.826306
18.8,25,25.105239
27.1,25,25.117002
25.0,25,25.125976
27.2,25,25.1343
19.9,25,25.145191
23.8,25,25.154087
23.1,25,25.162503
26.3,25,25.171115
25.3,25,25.179699
23.2,25,25.188313
24.1,25,25.196795
26.0,25,25.205698
20.8,25,25.214458
24.9,25,25.223258
25.0,25,25.232603
26.3,25,25.241739
23.0,25,25.250452
24.3,25,25.259301
30.6,25,25.270838
27.3,25,25.28595
29.4,25,25.296631
24.1,25,25.56532
27.2,25,25.575582
26.4,25,25.584363
17.6,25,25.592859
30.2,25,25.601601
29.6,25,25.610485
25.4,25,25.619163
28.3,25,25.62822
26.0,25,25.63679
27.3,25,25.645885
23.1,25,25.654296
27.3,25,25.663859
26.3,25,25.672437
28.0,25,25.68232
23.2,25,25.691163
25.3,25,25.699599
23.8,25,25.708401
23.7,25,25.717067
25.3,25,25.726137
25.0,25,25.735089
25.2,25,25.980884
25.1,25,25.991755
24.0,25,26.000214
26.3,25,26.008929
30.3,25,26.017508
22.2,25,26.026428
29.3,25,26.035978
26.7,25,26.047586
27.6,25,26.058594
27.3,25,26.06764
27.4,25,26.076687
28.7,25,26.085991
22.8,25,26.09475
25.1,25,26.103679
25.0,25,26.112209
28.6,25,26.121094
25.3,25,26.129742
27.3,25,26.138675
21.9,25,26.147628
25.4,25,26.156361
24.0,25,26.165295
21.8,25,26.482705
23.1,25,26.493203
25.3,25,26.502766
28.3,25,26.51202
26.4,25,26.521858
28.3,25,26.532375
27.3,25,26.544138
27.3,25,26.553829
28.2,25,26.562804
24.4,25,26.571206
22.8,25,26.580472
28.3,25,26.589882
22.9,25,26.598795
25.4,25,26.608588
24.9,25,26.617707
28.3,25,26.62639
24.1,25,26.634722
27.9,25,26.64303
18.9,25,26.651222
27.3,25,26.660438
25.3,25,27.023704
27.3,25,27.035291
24.1,25,27.045025
26.1,25,27.057194
27.6,25,27.06683
28.6,25,27.075999
21.8,25,27.086148
24.0,25,27.095844
17.0,25,27.104918
-6.6,25,27.113528
23.8,25,27.122481
25.3,25,27.130833
22.8,25,27.14175
24.1,25,27.150332
27.2,25,27.159131
26.3,25,27.167607
21.0,25,27.176614
-6.6,25,27.184708
25.1,25,27.193181
25.1,25,27.201412
21.8,25,27.209909
26.2,25,27.51231
21.8,25,27.522331
25.0,25,27.531419
21.0,25,27.540737
29.2,25,27.550206
26.3,25,27.560632
26.2,25,27.569938
29.6,25,27.578356
27.4,25,27.586838
26.0,25,27.595513
23.7,25,27.604315
25.3,25,27.612863
29.3,25,27.621559
24.4,25,27.630003
26.1,25,27.638606
25.1,25,27.647237
26.7,25,27.655937
26.3,25,27.664695
26.3,25,27.673333
27.3,25,27.682112
23.1,25,28.055549
24.1,25,28.066775
19.6,25,28.077665
26.9,25,28.086737
26.3,25,28.095672
23.1,25,28.105497
18.7,25,28.114349
23.8,25,28.123344
26.1,25,28.13247
28.2,25,28.141646
29.2,25,28.150371
25.3,25,28.158962
27.3,25,28.168126
29.6,25,28.176796
25.0,25,28.185393
25.1,25,28.193941
27.1,25,28.20268
25.4,25,28.211314
29.3,25,28.220012
31.6,25,28.228755
28.3,25,28.237864
27.3,25,28.523975
23.8,25,28.533511
28.0,25,28.542136
22.9,25,28.551478
26.2,25,28.560815
28.3,25,28.570996
27.2,25,28.579705
24.2,25,28.588354
29.3,25,28.597243
20.9,25,28.606063
26.1,25,28.615106
25.4,25,28.623851
25.0,25,28.632689
27.0,25,28.641699
30.6,25,28.65025
28.6,25,28.6592
23.1,25,28.668067
26.4,25,28.677441
25.1,25,28.686051
25.0,25,28.694626
26.0,25,28.965321
26.1,25,28.976161
25.0,25,28.985478
29.2,25,28.994511
-6.4,25,29.003234
-6.6,25,29.012016
28.6,25,29.021118
28.3,25,29.030005
25.3,25,29.038651
24.0,25,29.047129
31.2,25,29.056037
28.3,25,29.064624
30.6,25,29.073376
27.4,25,29.082
25.0,25,29.090985
26.3,25,29.099785
27.9,25,29.108501
28.2,25,29.117414
26.1,25,29.126283
26.3,25,29.135054
30.3,25,29.144681
22.7,25,29.45833
29.6,25,29.467506
28.3,25,29.476058
31.6,25,29.484756
28.3,25,29.49351
26.4,25,29.502285
26.3,25,29.510957
26.1,25,29.520139
26.1,25,29.528841
26.1,25,29.53749
25.1,25,29.546109
25.0,25,29.554774
25.0,25,29.563901
23.4,25,29.575177
26.1,25,29.584497
26.1,25,29.593009
25.1,25,29.601831
26.1,25,29.610362
-6.6,25,29.618273
26.3,25,29.626741
25.1,25,29.898791
27.0,25,29.910183
27.0,25,29.918849
26.0,25,29.92761
29.3,25,29.936495
23.0,25,29.944887
25.0,25,29.953745
23.1,25,29.962224
27.0,25,29.97098
27.4,25,29.97919
26.6,25,29.98848
28.3,25,29.997195
22.8,25,30.005775
26.0,25,30.014304
27.3,25,30.02255
27.6,25,30.031371
26.3,25,30.03988
26.3,25,30.048638
22.8,25,30.057233
30.2,25,30.065852
26.0,25,30.074586
24.1,25,30.4893
28.3,25,30.499099
25.4,25,30.508271
29.3,25,30.517412
27.6,25,30.526506
23.0,25,30.535823
-0.2,25,30.544747
29.3,25,30.553975
26.4,25,30.563387
27.2,25,30.572474
30.3,25,30.582369
26.0,25,30.590745
27.2,25,30.599287
27.2,25,30.60807
26.3,25,30.616804
24.1,25,30.625403
28.0,25,30.633835
25.3,25,30.642273
26.0,25,30.651099
26.0,25,30.659675
27.0,25,31.046772
23.8,25,31.058698
28.2,25,31.068678
26.0,25,31.079078
16.0,25,31.090273
27.3,25,31.100065
26.0,25,31.109772
21.0,25,31.119735
26.2,25,31.128907
26.0,25,31.138064
27.3,25,31.14866
26.0,25,31.160571
22.1,25,31.172093
24.3,25,31.182747
28.2,25,31.191405
27.4,25,31.201094
27.3,25,31.211702
28.3,25,31.22189
29.3,25,31.231324
24.0,25,31.241833
28.1,25,31.25167
28.3,25,31.553694
27.3,25,31.563565
28.6,25,31.57282
25.0,25,31.582782
30.3,25,31.594706
28.2,25,31.604374
17.7,25,31.613283
27.9,25,31.622296
26.3,25,31.631284
26.3,25,31.639697
26.3,25,31.648229
26.1,25,31.656693
29.6,25,31.665109
28.9,25,31.673682
22.4,25,31.682246
25.0,25,31.690933
29.3,25,31.702032
26.6,25,31.716766
30.3,25,31.725103
27.3,25,31.733978
27.3,25,32.003751
26.4,25,32.014222
22.8,25,32.022468
28.3,25,32.031787
23.8,25,32.041184
25.1,25,32.050468
27.0,25,32.05934
27.0,25,32.069044
27.0,25,32.078814
27.2,25,32.089575
25.0,25,32.098316
28.3,25,32.106948
30.2,25,32.115796
28.0,25,32.124594
26.3,25,32.133182
27.4,25,32.142119
25.0,25,32.15212
29.3,25,32.161437
26.0,25,32.17237
21.8,25,32.181049
26.3,25,32.190157
28.3,25,32.472726
28.2,25,32.483006
25.3,25,32.492352
30.2,25,32.501293
25.3,25,32.510443
30.6,25,32.519505
27.2,25,32.528721
25.0,25,32.538009
31.3,25,32.547105
25.4,25,32.555622
27.3,25,32.564178
27.3,25,32.572623
30.2,25,32.58141
27.3,25,32.590472
23.1,25,32.601065
28.3,25,32.609612
22.4,25,32.618173
26.9,25,32.626809
25.1,25,32.636093
23.1,25,32.644788
26.4,25,32.934593
27.2,25,32.945864
29.6,25,32.954508
28.3,25,32.963647
27.2,25,32.972155
27.3,25,32.981662
25.3,25,32.990745
23.1,25,32.999854
26.4,25,33.008847
28.3,25,33.017476
28.3,25,33.026083
22.8,25,33.034477
23.1,25,33.043127
25.0,25,33.051422
25.3,25,33.060086
23.4,25,33.068617
22.8,25,33.077605
27.0,25,33.086296
29.2,25,33.095844
24.1,25,33.105929
